,Query,Answer,Document Id
0,What was the capital of the Safavid Dynasty?,"By the 1500s, Ismail I from Ardabil, established the Safavid Dynasty, with Tabriz as the capital.",400
1,"What Proto-Indo-European term means ""skillful assembler?","The Middle Iranian ērān and aryān are oblique plural forms of gentilic ēr- (Middle Persian) and ary- (Parthian), both deriving from Proto-Iranian *arya- (meaning ""Aryan,"" i.e., ""of the Iranians""), argued to descend from Proto-Indo-European *ar-yo-, meaning ""skillful assembler.""",400
2,What Iranian film festival was created in 1973?,The endeavors also resulted in the formation of the Tehran World Festival in 1973.,400
3,What percentage of recovery of bitumen is by oil wells?,The other 80% has to be produced by oil wells using enhanced oil recovery techniques like steam-assisted gravity drainage.,181
4,What did culture refer to in practice?,"In practice, culture referred to an élite ideal and was associated with such activities as art, classical music, and haute cuisine.",297
5,What appointments were  the first step in Indian self-rule?,The first step toward Indian self-rule was the appointment of councillors to advise the British viceroy in 1861 and the first Indian was appointed in 1909.,304
6,What was the capital of the Safavid Dynasty?,"By the 1500s, Ismail I from Ardabil, established the Safavid Dynasty, with Tabriz as the capital.",400
7,Who mediated the truce with Khomeini?,"Subsequently, Khomeini accepted a truce mediated by the UN.",400
8,When did an empire collapse after Alexander's conquests?,The empire collapsed in 330 BC following the conquests of Alexander the Great.,400
9,What is the Leader of the Revolution also known as in Iran?,"The Leader of the Revolution (""Supreme Leader"") is responsible for delineation and supervision of the general policies of the Islamic Republic of Iran.",400
10,What is the nickname for Tucson?,"Roughly 150 Tucson companies are involved in the design and manufacture of optics and optoelectronics systems, earning Tucson the nickname Optics Valley.",390
11,Who sold Arizona?,"Arizona, south of the Gila River was legally bought from Mexico in the Gadsden Purchase on June 8, 1854.",390
12,When was Arizona purchased from Mexico?,"Arizona, south of the Gila River was legally bought from Mexico in the Gadsden Purchase on June 8, 1854.",390
13,What type of fuel is used by Fajr-3 missile?,"The Fajr-3 (MIRV) is currently Iran's most advanced ballistic missile, it is a liquid fuel missile with an undisclosed range which was developed and produced domestically.",400
14,What distance can the Fajr-3 missile travel?,"The Fajr-3 (MIRV) is currently Iran's most advanced ballistic missile, it is a liquid fuel missile with an undisclosed range which was developed and produced domestically.",400
15,Who drove out the Pashtuns from Iran in 1729?,"In 1729, Nader Shah, a chieftain and military genius from Khorasan, successfully drove out and conquered the Pashtun invaders.",400
16,Who pushed back the Pashtuns from Iran in 1729?,"In 1729, Nader Shah, a chieftain and military genius from Khorasan, successfully drove out and conquered the Pashtun invaders.",400
